shape,FLOPs,MACs,Parameters
"(16, 3, 640, 640)",17.2278 GFLOPS,8.3344 GMACs,1.4251 M
"(16, 3, 640, 640)",72.6522 GFLOPS,35.7794 GMACs,2.601 M
